Candidate_ID,Technical_Score,Years_Exp,Portfolio_Rating,Logic_Score,Field_Readiness,Gender
CAND_001,95,2,9,92,90,Male
CAND_002,70,10,5,65,40,Female
CAND_003,88,4,8,85,95,Male
CAND_004,60,15,4,50,30,Male
CAND_005,92,1,10,98,85,Female
CAND_006,85,5,7,80,92,Male
CAND_007,55,12,3,45,50,Female
CAND_008,98,3,9,95,88,Male
CAND_009,75,8,6,70,60,Female
CAND_010,82,6,8,82,94,Male
CAND_011,91,3,9,89,87,Female
CAND_012,65,9,4,60,45,Male
CAND_013,84,5,7,83,91,Male
CAND_014,72,11,5,68,55,Female
CAND_015,96,2,10,94,89,Male
CAND_016,58,14,3,48,40,Female
CAND_017,89,4,8,87,96,Male
CAND_018,78,7,6,75,70,Female
CAND_019,93,1,9,96,82,Male
CAND_020,81,6,7,79,93,Female
CAND_021,68,10,5,62,48,Male
CAND_022,97,3,10,95,90,Female
CAND_023,74,8,6,71,65,Male
CAND_024,86,5,8,84,92,Female
CAND_025,52,16,2,40,35,Male
CAND_026,90,4,9,91,88,Female
CAND_027,77,7,6,74,72,Male
CAND_028,83,6,7,80,95,Female
CAND_029,62,13,4,55,50,Male
CAND_030,94,2,9,93,86,Female
CAND_031,87,5,8,85,91,Male
CAND_032,69,9,5,64,42,Female
CAND_033,99,4,10,98,97,Male
CAND_034,71,11,4,67,58,Female
CAND_035,85,6,7,81,90,Male
CAND_036,56,15,3,46,38,Female
CAND_037,92,3,9,90,89,Male
CAND_038,80,8,6,78,75,Female
CAND_039,88,5,8,86,94,Male
CAND_040,64,12,4,58,45,Female
CAND_041,95,2,10,97,84,Male
CAND_042,73,10,5,70,62,Female
CAND_043,89,4,8,88,96,Male
CAND_044,61,14,3,52,40,Female
CAND_045,98,3,10,96,92,Male
CAND_046,76,9,6,73,68,Female
CAND_047,84,5,7,82,93,Male
CAND_048,54,17,2,42,30,Female
CAND_049,91,2,9,92,87,Male
CAND_050,82,7,7,80,91,Female